Name,date,MMSI,CallSign,ImoNumber ,Destination,Eta mois,Eta day,Eta hour,Eta minutes,Type of vessel,DimensionA,DimensionB,DimensionC,DimensionD
TRONDHEIMSFJORD II  ,2023-03-24 08:12:27.618438+00:00,257114400,LAPB   ,9432189,TRD-VAN             ,12,13,19,0,40,9,15,4,4
SPN 19,2023-03-24 08:12:27.632163+00:00,205437190,OT4371,0,ANTWERPEN,0,0,24,60,99,7,12,3,3
TRONDHEIMSFJORD II  ,2023-03-24 08:12:27.643782+00:00,257114400,LAPB   ,9432189,TRD-VAN             ,12,13,19,0,40,9,15,4,4
TRONDHEIMSFJORD II  ,2023-03-24 08:12:27.650032+00:00,257114400,LAPB   ,9432189,TRD-VAN             ,12,13,19,0,40,9,15,4,4
ENERGY DUCHESS      ,2023-03-24 08:12:27.654913+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
M/Y SEA CLASS       ,2023-03-24 08:12:27.674470+00:00,339694000,6YTN2  ,8657732,NASSAU              ,0,0,10,0,37,42,10,4,4
PEJERREY            ,2023-03-24 08:12:27.675695+00:00,374284000,LAU)PEJ,0,,0,0,24,60,53,7,12,4,2
STRAY CAT 2         ,2023-03-24 08:12:27.677711+00:00,316021682,CFA2570,0,B 2 A,0,0,0,0,36,7,4,3,4
VALKYRIE   ,2023-03-24 08:12:27.684191+00:00,244650780,PH7256,0,STELLENDAM ,6,1,11,0,30,5,7,2,2
CALIDRIS,2023-03-24 08:12:27.712383+00:00,244129902,PG9569,0,VASTE BRUG GROBBENDO,3,27,16,17,79,67,18,3,7
T 1107              ,2023-03-24 08:12:27.745313+00:00,211226330,DBMV   ,0,,0,0,24,60,33,10,10,3,2
MARSEILLAIS 6 ,2023-03-24 08:12:27.746347+00:00,227016900,FQSJ,9032111,FOS,8,6,22,30,52,20,15,6,6
ENERGY DUCHESS      ,2023-03-24 08:12:27.748632+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
SIRIOS CEMENT III   ,2023-03-24 08:12:27.751773+00:00,352001169,3E3435 ,9373606,USSAV               ,3,20,18,30,70,114,31,12,13
ST MAARTEN,2023-03-24 08:12:27.752941+00:00,244750840,PA5090,0,ROTTERDAM BOTLEK,3,24,15,30,80,85,0,4,6
BRU-14 LUCTOR ET ...,2023-03-24 08:12:27.819082+00:00,245336000,PEAG   ,8952869,WADDENZEE           ,3,23,7,30,30,27,9,7,1
MSC DORINE          ,2023-03-24 08:12:27.823579+00:00,636020898,5LBG5  ,9301328,PORTBURY            ,3,23,23,0,71,222,72,20,12
ST MAARTEN,2023-03-24 08:12:27.828118+00:00,244750840,PA5090,0,ROTTERDAM BOTLEK,3,24,15,30,80,85,0,4,6
MSC DORINE          ,2023-03-24 08:12:27.863534+00:00,636020898,5LBG5  ,9301328,PORTBURY            ,3,23,23,0,71,222,72,20,12
MSC DORINE          ,2023-03-24 08:12:27.864145+00:00,636020898,5LBG5  ,9301328,PORTBURY            ,3,23,23,0,71,222,72,20,12
FV ANDROMEDA ,2023-03-24 08:12:27.907008+00:00,601762000,ZR4776,0,FISHINGGROUND,10,7,6,0,30,10,26,3,6
BONA  SPES 2,2023-03-24 08:12:27.908240+00:00,244690728,PF2791,0,OUDEWETERING,3,6,13,9,52,21,15,2,3
MSC DORINE          ,2023-03-24 08:12:27.911046+00:00,636020898,5LBG5  ,9301328,PORTBURY            ,3,23,23,0,71,222,72,20,12
FIVELBORG,2023-03-24 08:12:27.911594+00:00,245466000,PCEL,9419307,CAVLF,4,7,12,0,70,144,10,8,8
FIVELBORG,2023-03-24 08:12:27.912280+00:00,245466000,PCEL,9419307,CAVLF,4,7,12,0,70,144,10,8,8
ENERGY DUCHESS      ,2023-03-24 08:12:27.934692+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
HOLLANDIA SEAWAYS,2023-03-24 08:12:27.935148+00:00,219234000,OXUD2,9832585,VLA-IMM-VLA         ,3,24,7,15,70,162,76,17,17
WALTER DEYMANN,2023-03-24 08:12:27.936642+00:00,211550380,DD4329,0,BRUNSBUTT           ,3,23,12,0,99,72,13,3,7
MSC DORINE          ,2023-03-24 08:12:27.937387+00:00,636020898,5LBG5  ,9301328,PORTBURY            ,3,23,23,0,71,222,72,20,12
HOGSTEAN,2023-03-24 08:12:27.938512+00:00,211309750,DDLB2,8324610,BREMERHAVEN,8,9,21,0,70,12,14,3,4
HOLLANDIA SEAWAYS,2023-03-24 08:12:27.943398+00:00,219234000,OXUD2,9832585,VLA-IMM-VLA         ,3,24,7,15,70,162,76,17,17
HOLLANDIA SEAWAYS,2023-03-24 08:12:27.957698+00:00,219234000,OXUD2,9832585,VLA-IMM-VLA         ,3,24,7,15,70,162,76,17,17
KNCTEST,2023-03-24 08:12:27.959083+00:00,257006099,KNCTEST,0,B,0,0,0,0,0,0,0,0,0
KNCTEST,2023-03-24 08:12:28.006954+00:00,257006099,KNCTEST,0,B,0,0,0,0,0,0,0,0,0
AMELAND,2023-03-24 08:12:28.008152+00:00,244740400,PF5885,0,AMELAND,0,0,24,60,69,8,27,5,4
KAMINASTAD,2023-03-24 08:12:28.011561+00:00,269057773,HE7737,0,MARL,3,24,22,58,80,76,10,3,8
EMS TUG             ,2023-03-24 08:12:28.011945+00:00,255806306,CQAX8  ,9849734,DEN HELDER          ,3,18,16,0,52,8,19,3,8
MARGARETE SCHULTE   ,2023-03-24 08:12:28.012421+00:00,249837000,9HA2032,9302944,MXVER               ,4,7,16,0,71,167,43,10,20
KAMINASTAD,2023-03-24 08:12:28.052449+00:00,269057773,HE7737,0,MARL,3,24,22,58,80,76,10,3,8
MR DUCK             ,2023-03-24 08:12:28.081469+00:00,367610770,WDH3774,0,,0,0,0,0,52,3,6,3,3
KNCTEST,2023-03-24 08:12:28.082439+00:00,257006099,KNCTEST,0,B,0,0,0,0,0,0,0,0,0
NANCY JILLIAN       ,2023-03-24 08:12:28.083396+00:00,316001850,CFD3784,0,,0,0,0,0,30,6,26,3,6
KAMINASTAD,2023-03-24 08:12:28.085346+00:00,269057773,HE7737,0,MARL,3,24,22,58,80,76,10,3,8
MARGARETE SCHULTE   ,2023-03-24 08:12:28.121578+00:00,249837000,9HA2032,9302944,MXVER               ,4,7,16,0,71,167,43,10,20
ODDVAERING,2023-03-24 08:12:28.131064+00:00,257584800,LK6362,0,FISH FARM,11,13,15,15,70,2,10,3,3
LUCITA,2023-03-24 08:12:28.151593+00:00,255724000,CQIL,9338113,TAU,3,24,15,0,70,91,17,9,9
NORDICA,2023-03-24 08:12:28.153816+00:00,211222350,DGMY,0,DESTD-SEA-DESTD,3,24,16,20,90,5,15,2,4
GEO CAT             ,2023-03-24 08:12:28.154973+00:00,257067570,LH3282 ,0,PORSGRUNN           ,3,24,9,0,33,5,10,4,2
ODDVAERING,2023-03-24 08:12:28.156945+00:00,257584800,LK6362,0,FISH FARM,11,13,15,15,70,2,10,3,3
LUCITA,2023-03-24 08:12:28.157827+00:00,255724000,CQIL,9338113,TAU,3,24,15,0,70,91,17,9,9
GEO CAT             ,2023-03-24 08:12:28.158947+00:00,257067570,LH3282 ,0,PORSGRUNN           ,3,24,9,0,33,5,10,4,2
HOLLANDIA SEAWAYS,2023-03-24 08:12:28.231365+00:00,219234000,OXUD2,9832585,VLA-IMM-VLA         ,3,24,7,15,70,162,76,17,17
MRS BLISS ,2023-03-24 08:12:28.232372+00:00,244650718,PH5945,0,HAMBURG,0,0,24,60,37,14,8,1,3
SEAJACKS SCYLLA,2023-03-24 08:12:28.233020+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
PV HUMBER SATURN    ,2023-03-24 08:12:28.234458+00:00,235032574,MLEA2  ,0,HUMBER PILOTAGE DIST,0,0,24,60,0,15,0,2,2
CHARLES NEWMAN      ,2023-03-24 08:12:28.235438+00:00,374621000,HO4245 ,0,                    ,0,0,24,60,99,4,18,4,3
SEAJACKS SCYLLA,2023-03-24 08:12:28.240703+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
SANTA CRUZ          ,2023-03-24 08:12:28.272549+00:00,219080000,OXTN2  ,9444742,NLROT               ,3,27,18,30,71,228,72,18,25
SANTAMARIA          ,2023-03-24 08:12:28.315359+00:00,355146000,HP3989 ,9571612,FR LPE ANCH         ,3,16,12,0,70,153,26,22,6
SANTAMARIA          ,2023-03-24 08:12:28.318877+00:00,355146000,HP3989 ,9571612,FR LPE ANCH         ,3,16,12,0,70,153,26,22,6
BLUE LONDON,2023-03-24 08:12:28.323134+00:00,244730159,PI2099,0,,0,0,24,60,60,10,20,3,5
JOHANN STRAUSS      ,2023-03-24 08:12:28.324401+00:00,269057275,HE7275 ,0,LAGE ZWALUWE        ,11,11,7,0,69,25,85,8,4
VB SCHELDE          ,2023-03-24 08:12:28.369410+00:00,249532000,9HB4826,9402433,ROTTERDAM           ,12,31,0,0,29,10,18,6,4
VICTORIA 1,2023-03-24 08:12:28.418189+00:00,276519000,ESRP,9281281,GBLEI,7,11,9,15,60,49,144,15,14
ENERGY DUCHESS      ,2023-03-24 08:12:28.418791+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
HOLLANDIA SEAWAYS,2023-03-24 08:12:28.420030+00:00,219234000,OXUD2,9832585,VLA-IMM-VLA         ,3,24,7,15,70,162,76,17,17
MOONSHADOW,2023-03-24 08:12:28.424456+00:00,319887000,ZCIG8,1007419,KAAG,10,8,14,30,37,20,23,3,6
SANTAMARIA          ,2023-03-24 08:12:28.461973+00:00,355146000,HP3989 ,9571612,FR LPE ANCH         ,3,16,12,0,70,153,26,22,6
SEAJACKS SCYLLA,2023-03-24 08:12:28.464201+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
MAARTJE THEADORA    ,2023-03-24 08:12:28.466306+00:00,218066000,DEAN2  ,9182801,KLAIPEDA LT KLJ     ,0,0,24,60,30,100,41,4,15
MAARTJE THEADORA    ,2023-03-24 08:12:28.484642+00:00,218066000,DEAN2  ,9182801,KLAIPEDA LT KLJ     ,0,0,24,60,30,100,41,4,15
NZK PONT 104,2023-03-24 08:12:28.624048+00:00,244373658,PC5486,0,,0,0,0,0,69,22,20,11,3
ENERGY DUCHESS      ,2023-03-24 08:12:28.629291+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
FJORD FISH,2023-03-24 08:12:28.653745+00:00,257961600,LK7295,0,                   ,1,1,1,1,52,2,12,3,3
STORHAV,2023-03-24 08:12:28.674882+00:00,257157520,LK3764,0,41646438,0,0,24,60,30,4,11,3,3
NZK PONT 104,2023-03-24 08:12:28.680677+00:00,244373658,PC5486,0,,0,0,0,0,69,22,20,11,3
FJORD FISH,2023-03-24 08:12:28.682691+00:00,257961600,LK7295,0,                   ,1,1,1,1,52,2,12,3,3
STORHAV,2023-03-24 08:12:28.688276+00:00,257157520,LK3764,0,41646438,0,0,24,60,30,4,11,3,3
JAN V HASSELT SR    ,2023-03-24 08:12:28.692143+00:00,244710165,PC5964 ,0,EEMSHAVEN           ,3,25,7,45,79,99,12,8,4
ST MAARTEN,2023-03-24 08:12:28.692879+00:00,244750840,PA5090,0,ROTTERDAM BOTLEK,3,24,15,30,80,85,0,4,6
MAREEL VERDIGRIS    ,2023-03-24 08:12:28.694375+00:00,235102691,2HDH3  ,9787065,LOWESTOFT           ,2,20,18,0,40,13,13,4,4
ODDVAERING,2023-03-24 08:12:28.723378+00:00,257584800,LK6362,0,FISH FARM,11,13,15,15,70,2,10,3,3
LUCITA,2023-03-24 08:12:28.724267+00:00,255724000,CQIL,9338113,TAU,3,24,15,0,70,91,17,9,9
GEO CAT             ,2023-03-24 08:12:28.725182+00:00,257067570,LH3282 ,0,PORSGRUNN           ,3,24,9,0,33,5,10,4,2
FJORD FISH,2023-03-24 08:12:28.726775+00:00,257961600,LK7295,0,                   ,1,1,1,1,52,2,12,3,3
STORHAV,2023-03-24 08:12:28.727519+00:00,257157520,LK3764,0,41646438,0,0,24,60,30,4,11,3,3
CAPIDAHL            ,2023-03-24 08:12:28.729441+00:00,730072000,HKCF7  ,9515058,CARTAGENA COLOMBIA  ,1,18,12,0,52,12,18,4,7
CRAIGLEITH          ,2023-03-24 08:12:28.799319+00:00,232015861,MDTE5  ,9803819,THAMES TOWAGE       ,3,3,12,0,52,11,15,4,9
UK22 STELLA POLARIS ,2023-03-24 08:12:28.800296+00:00,245308000,PHSU   ,8700802,                    ,1,1,0,0,30,18,12,4,4
CRAIGLEITH          ,2023-03-24 08:12:28.881747+00:00,232015861,MDTE5  ,9803819,THAMES TOWAGE       ,3,3,12,0,52,11,15,4,9
CALISTO,2023-03-24 08:12:28.887427+00:00,244630748,PI8597,0,,0,0,24,60,79,181,2,5,7
MULTRASALVOR 4      ,2023-03-24 08:12:28.888288+00:00,246490000,PDPN   ,8224286,ZEEBRUGGE           ,3,5,16,0,52,38,8,3,9
GUNILLA             ,2023-03-24 08:12:28.902146+00:00,265318000,SERW   ,5239515,US TAMPA            ,0,0,24,60,36,42,8,6,2
SVITZER TRIDENT     ,2023-03-24 08:12:28.903623+00:00,232028316,MHOM5  ,9769398,LIVERPOOL TUG OPS   ,3,23,13,30,52,12,16,5,5
SUULA,2023-03-24 08:12:28.931591+00:00,230957000,OJKZ,9267560,FISKV>SEHLD,3,25,1,0,89,111,29,14,8
MOONSHADOW,2023-03-24 08:12:28.935605+00:00,319887000,ZCIG8,1007419,KAAG,10,8,14,30,37,20,23,3,6
MULTRASALVOR 4      ,2023-03-24 08:12:28.939328+00:00,246490000,PDPN   ,8224286,ZEEBRUGGE           ,3,5,16,0,52,38,8,3,9
BUGSIER 2           ,2023-03-24 08:12:28.941534+00:00,211876000,DDBC2  ,9338993,HAMBURG             ,1,17,20,0,32,14,19,5,7
BUGSIER 2           ,2023-03-24 08:12:28.942143+00:00,211876000,DDBC2  ,9338993,HAMBURG             ,1,17,20,0,32,14,19,5,7
SVITZER TRIDENT     ,2023-03-24 08:12:28.961205+00:00,232028316,MHOM5  ,9769398,LIVERPOOL TUG OPS   ,3,23,13,30,52,12,16,5,5
SVITZER TRIDENT     ,2023-03-24 08:12:28.969532+00:00,232028316,MHOM5  ,9769398,LIVERPOOL TUG OPS   ,3,23,13,30,52,12,16,5,5
BUGSIER 2           ,2023-03-24 08:12:28.986664+00:00,211876000,DDBC2  ,9338993,HAMBURG             ,1,17,20,0,32,14,19,5,7
VIKING HLIN,2023-03-24 08:12:29.004615+00:00,269057478,HE7478,0,AMSTERDAM,3,26,2,0,20,10,125,1,11
STATENDAM,2023-03-24 08:12:29.005592+00:00,244780850,PB2803,0,ONDERWEG            ,8,1,12,0,70,173,10,4,8
RIVER PRINCESS,2023-03-24 08:12:29.007923+00:00,269057423,HE7423,0,NURNBERG,4,11,7,0,69,30,80,8,9
SVITZER TRIDENT     ,2023-03-24 08:12:29.038488+00:00,232028316,MHOM5  ,9769398,LIVERPOOL TUG OPS   ,3,23,13,30,52,12,16,5,5
DETTMER TANK 179,2023-03-24 08:12:29.048477+00:00,211214670,DJ3298,0,                    ,0,0,0,0,80,84,16,5,4
YAREN S,2023-03-24 08:12:29.082971+00:00,271002352,TCCE3,9187966,THESSALONIKI,3,23,21,0,70,63,15,6,5
SVITZER TRIDENT     ,2023-03-24 08:12:29.083785+00:00,232028316,MHOM5  ,9769398,LIVERPOOL TUG OPS   ,3,23,13,30,52,12,16,5,5
ILHA DA MADEIRA     ,2023-03-24 08:12:29.085123+00:00,255806305,CQAX7  ,9341976,PTLIS               ,3,24,6,0,70,117,12,10,10
SANTAMARIA          ,2023-03-24 08:12:29.111079+00:00,355146000,HP3989 ,9571612,FR LPE ANCH         ,3,16,12,0,70,153,26,22,6
ILHA DA MADEIRA     ,2023-03-24 08:12:29.112792+00:00,255806305,CQAX7  ,9341976,PTLIS               ,3,24,6,0,70,117,12,10,10
ILHA DA MADEIRA     ,2023-03-24 08:12:29.139010+00:00,255806305,CQAX7  ,9341976,PTLIS               ,3,24,6,0,70,117,12,10,10
BROBACK,2023-03-24 08:12:29.180774+00:00,258000580,LH3923,0,HUSOY I SENJA,5,6,18,0,30,3,12,4,4
BROBACK,2023-03-24 08:12:29.207779+00:00,258000580,LH3923,0,HUSOY I SENJA,5,6,18,0,30,3,12,4,4
BROBACK,2023-03-24 08:12:29.234873+00:00,258000580,LH3923,0,HUSOY I SENJA,5,6,18,0,30,3,12,4,4
RHEIN SYMPHONIE,2023-03-24 08:12:29.240475+00:00,211539230,DG4282,0,AMSTERDAM,3,24,7,0,69,42,90,8,4
BLUE SINGAPORE,2023-03-24 08:12:29.250786+00:00,244040060,PH8704,0,,0,0,24,60,69,9,15,4,4
RHEIN SYMPHONIE,2023-03-24 08:12:29.253798+00:00,211539230,DG4282,0,AMSTERDAM,3,24,7,0,69,42,90,8,4
MINGE,2023-03-24 08:12:29.298178+00:00,277314000,LYRL,0,,0,0,0,0,50,12,3,2,4
AS CAMELLIA,2023-03-24 08:12:29.305767+00:00,255806121,CQAA7,9314947,EGALY,3,25,9,0,73,177,46,21,9
VANTHYA             ,2023-03-24 08:12:29.375849+00:00,244700710,PB7275,0,AMSTERDAM HARLINGEN,9,13,23,0,99,85,15,8,4
ILHA DA MADEIRA     ,2023-03-24 08:12:29.398132+00:00,255806305,CQAX7  ,9341976,PTLIS               ,3,24,6,0,70,117,12,10,10
MYLIN IV            ,2023-03-24 08:12:29.399754+00:00,319466000,ZHGL7  ,1002902,US MIA              ,1,31,22,30,37,30,30,5,5
CORVALLO            ,2023-03-24 08:12:29.400437+00:00,372294000,LAU)COR,0,                    ,2,26,6,10,53,9,10,2,4
NORTHERN SHADOW     ,2023-03-24 08:12:29.401558+00:00,232030583,M1F04  ,0,B 2 A,0,0,0,0,36,14,0,1,3
BLUE SINGAPORE,2023-03-24 08:12:29.426453+00:00,244040060,PH8704,0,,0,0,24,60,69,9,15,4,4
MP SANTA MARIA,2023-03-24 08:12:29.472642+00:00,247300350,IFHL2,0,SCOGLITTI,1,1,1,1,30,5,10,1,3
BORRASCA PRIMERO  ,2023-03-24 08:12:29.519986+00:00,224050450,,0,,0,0,24,60,99,10,10,3,2
RESCUE BURRE        ,2023-03-24 08:12:29.521228+00:00,265518880,7SA2186,0,SWEDISH SAR VESSEL  ,12,31,23,59,51,6,6,2,2
ENERGY DUCHESS      ,2023-03-24 08:12:29.527837+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
NZK PONT 102,2023-03-24 08:12:29.591920+00:00,244126046,PH2827,0,SPAARNDAM,3,11,0,0,60,42,0,0,14
CALISTO,2023-03-24 08:12:29.604506+00:00,244630748,PI8597,0,,0,0,24,60,79,181,2,5,7
TRANSPORTER         ,2023-03-24 08:12:29.605713+00:00,257097100,LH3858 ,0,HAUGESSUND          ,9,14,19,0,79,8,8,3,3
BASTO IV            ,2023-03-24 08:12:29.627341+00:00,257845600,LDPG   ,9771420,HORTEN<>MOSS        ,4,1,7,0,60,71,72,12,12
BASTO IV            ,2023-03-24 08:12:29.634883+00:00,257845600,LDPG   ,9771420,HORTEN<>MOSS        ,4,1,7,0,60,71,72,12,12
BASTO IV            ,2023-03-24 08:12:29.665092+00:00,257845600,LDPG   ,9771420,HORTEN<>MOSS        ,4,1,7,0,60,71,72,12,12
BASTO IV            ,2023-03-24 08:12:29.665929+00:00,257845600,LDPG   ,9771420,HORTEN<>MOSS        ,4,1,7,0,60,71,72,12,12
BASTO IV            ,2023-03-24 08:12:29.668368+00:00,257845600,LDPG   ,9771420,HORTEN<>MOSS        ,4,1,7,0,60,71,72,12,12
KVANNHOLMEN,2023-03-24 08:12:29.715566+00:00,257087930,LF6563,0,,0,0,0,0,79,11,4,3,3
FROEYBLIKK,2023-03-24 08:12:29.716078+00:00,259015390,LH4606,0,FROYA,3,19,14,0,70,5,10,6,6
KVANNHOLMEN,2023-03-24 08:12:29.733325+00:00,257087930,LF6563,0,,0,0,0,0,79,11,4,3,3
VANTHYA             ,2023-03-24 08:12:29.735970+00:00,244700710,PB7275,0,AMSTERDAM HARLINGEN,9,13,23,0,99,85,15,8,4
CRYSTAL SEA SS118,2023-03-24 08:12:29.738868+00:00,232025858,MGPI4,0,FISHING GROUNDS,1,3,1,0,30,14,10,4,4
KVANNHOLMEN,2023-03-24 08:12:29.740303+00:00,257087930,LF6563,0,,0,0,0,0,79,11,4,3,3
GREENPORTS 1,2023-03-24 08:12:29.742421+00:00,211718100,DK8884,0,BREMERHAVEN,9,16,23,0,79,56,15,5,6
MUSASHI             ,2023-03-24 08:12:29.744068+00:00,319032600,ZGAK3  ,1010131,LA SPEZIA           ,3,16,13,0,0,32,56,5,9
MPOSS,2023-03-24 08:12:29.779569+00:00,211290760,DBCZ,8862674,HAMBURG,2,9,17,0,99,28,6,10,2
RUSADIR,2023-03-24 08:12:29.786428+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
RUSADIR,2023-03-24 08:12:29.786993+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
RUSADIR,2023-03-24 08:12:29.823692+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
RUSADIR,2023-03-24 08:12:29.856684+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
RUSADIR,2023-03-24 08:12:29.858738+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
RADA                ,2023-03-24 08:12:29.955607+00:00,224303920,EA5728 ,0,,0,0,24,60,53,5,7,1,1
MARGARETE SCHULTE   ,2023-03-24 08:12:29.991481+00:00,249837000,9HA2032,9302944,MXVER               ,4,7,16,0,71,167,43,10,20
EQUITY              ,2023-03-24 08:12:30.035407+00:00,244100879,PC 5830,0,JAN VAN RIEBEECKHAVE,3,18,8,1,80,110,0,6,6
UK37 URSA MINOR     ,2023-03-24 08:12:30.055778+00:00,245325000,PICU   ,7922348,BOULOGNE SUR MER    ,3,22,14,33,30,20,11,4,4
FLYER               ,2023-03-24 08:12:30.129858+00:00,367791550,WDJ5814,0,NYC                 ,0,0,24,60,60,10,16,5,3
ESME,2023-03-24 08:12:30.130749+00:00,244130143,PD2566,0,BRUGGE ,8,16,14,0,37,14,12,3,3
BALTRUM V           ,2023-03-24 08:12:30.158711+00:00,211837110,DHRU2  ,9899014,EMDEN               ,1,18,15,0,70,43,10,3,9
EQUITY              ,2023-03-24 08:12:30.202452+00:00,244100879,PC 5830,0,JAN VAN RIEBEECKHAVE,3,18,8,1,80,110,0,6,6
BASTO IV            ,2023-03-24 08:12:30.204645+00:00,257845600,LDPG   ,9771420,HORTEN<>MOSS        ,4,1,7,0,60,71,72,12,12
TRANSPORTER         ,2023-03-24 08:12:30.204944+00:00,257097100,LH3858 ,0,HAUGESSUND          ,9,14,19,0,79,8,8,3,3
SVENOR,2023-03-24 08:12:30.205640+00:00,257060500,JXSW,9876816,,0,0,0,0,30,9,23,3,6
VOORNEBORG,2023-03-24 08:12:30.235380+00:00,245491000,PCGI,9179373,NO AES,3,23,13,0,70,120,12,8,8
TRANSPORTER         ,2023-03-24 08:12:30.236742+00:00,257097100,LH3858 ,0,HAUGESSUND          ,9,14,19,0,79,8,8,3,3
TRANSPORTER         ,2023-03-24 08:12:30.243528+00:00,257097100,LH3858 ,0,HAUGESSUND          ,9,14,19,0,79,8,8,3,3
ARIADNE             ,2023-03-24 08:12:30.264267+00:00,241760000,SVDM7  ,9413535,FECAMP WORKSITE     ,3,22,11,30,90,40,90,13,12
ARIADNE             ,2023-03-24 08:12:30.265255+00:00,241760000,SVDM7  ,9413535,FECAMP WORKSITE     ,3,22,11,30,90,40,90,13,12
REGINA              ,2023-03-24 08:12:30.271718+00:00,211497900,DB5938 ,0,LUEBECK             ,0,0,0,0,0,65,15,2,6
ARIADNE             ,2023-03-24 08:12:30.293175+00:00,241760000,SVDM7  ,9413535,FECAMP WORKSITE     ,3,22,11,30,90,40,90,13,12
