IMO,Name,Shipe_type,Fuel_conso_kg/nmile,CO2emission_kg/nmile
7901265,ROSELLA,Ro-pax ship,118.98,381.23
7901760,STENA EUROPE,Ro-pax ship,114.49,367.04
7903029,NEAMEH,Other ship types,57.59,182
7907245,STENA DANICA,Ro-pax ship,155.34,498.02
7907659,STENA VISION,Ro-pax ship,167.82,530.6
7907661,STENA SPIRIT,Ro-pax ship,153,483.76
7911533,MOBY DADA,Ro-pax ship,228.09,716.08
7911545,SAGA,Ro-pax ship,225.66,718.91
7927984,CELESTYAL OLYMPIA,Passenger ship,214.02,669.79
7928811,ALMARIYA,Ro-pax ship,148.42,467.74
7931454,EAGLE,Other ship types,143.72,449.06
7931985,VICTORY,Other ship types,57.45,181.83
7931997,BALTIVIA,Ro-pax ship,134.65,426.75
8000226,WASA EXPRESS,Ro-pax ship,109.47,350.96
8000836,KUBROSLI Y,General cargo ship,54.89,175.98
8001024,CSL ELBE,Bulk carrier,58.4,187.23
8009076,GULF LIVESTOCK 2,Other ship types,75.98,238.85
8009545,SIRIOS CEMENT I,Other ship types,Division by zero!,Division by zero!
8019368,VESTERALEN,Ro-pax ship,48.13,154.32
8020599,AKRITAS,Ro-ro ship,94.18,299.13
8020642,MOBY ZAZA',Ro-pax ship,199.52,636.88
8020927,PREVELIS,Ro-pax ship,87.35,273.63
8025343,SUPER SERVANT 4,Other ship types,108.58,339.32
8027573,ZEKO Y,General cargo ship,48.45,155.34
8030283,AVIVA,Ro-ro ship,55.15,174.7
8105404,RAMA H,General cargo ship,59.1,187.08
8110681,BONTRUP AMSTERDAM,Bulk carrier,91.53,292.62
8116972,LILY-HA,General cargo ship,34.63,108.79
8124785,DEVELOPMENT WAY,Other ship types,95.83,298.98
8125454,ARAL,Chemical tanker,44.07,139.44
8200577,ATLANTIC M,Other ship types,48.73,154.34
8201480,ARTANIA,Passenger ship,195.54,626.91
8201624,MSC IRIS,Container ship,130.17,412.61
8201636,MSC MALIN,Container ship,104.33,330.33
8201648,MSC EYRA,Container ship,100.83,319.63
8202018,IRON DESTINY,Bulk carrier,387.76,1243.15
8202525,SEA DOVE,Bulk carrier,70.27,222.16
8203660,VALMIERA,General cargo ship,51.14,161.83
8204250,NABOLSI,Other ship types,75.69,239.23
8204731,KIVELI,Bulk carrier,114.11,361.04
8207381,MY ROSE,Ro-ro ship,48.67,156.04
8208763,POETA LOPEZ ANGLADA,Ro-pax ship,163.96,514.56
8209626,SEA GLORY,General cargo ship,43.73,138.47
8214889,HAK,General cargo ship,Division by zero!,Division by zero!
8219906,SCILLA,Ro-pax ship,202.79,650.14
8219918,VILLA,Ro-pax ship,193.2,619.39
8300169,SLAVYANIN,Ro-ro ship,65.95,206.46
8303989,GHENA,Other ship types,102.11,319.87
8306486,MEGA SMERALDA,Ro-pax ship,200.1,624.59
8306498,MEGA ANDREA,Ro-pax ship,217.82,680.7
8307947,TAHA-Y,General cargo ship,74.91,237.01
8309397,BONTRUP PEARL,General cargo ship,77.54,246.86
8311118,ICE RIVER,Refrigerated cargo carrier,78.19,244.26
8311120,ICE RUNNER,Refrigerated cargo carrier,75.33,235.85
8313702,ARUBA PEARL,General cargo ship,78.35,246.76
8315554,IMPALA,Bulk carrier,51.49,164.58
8317942,COLOR VIKING,Ro-pax ship,132.69,425.42
8317954,STENA NAUTICA,Ro-pax ship,87.56,280.72
8320573,MEGA REGINA,Ro-pax ship,239.54,750.07
8401133,MAESTRO SUN,Ro-ro ship,131.16,412.02
8401444,SAILOR,Ro-pax ship,120.01,379.98
8401523,PROFESSOR B,General cargo ship,69.77,220.66
8405191,MARE DI LEVANTE,Ro-pax ship,81.1,257.28
8408648,ADMIRAL,General cargo ship,42.96,134.62
8413875,MSC GABRIELLA,Container ship,85.43,269.71
8415794,SEA PATRIS,Vehicle carrier,75.86,239.87
8416308,GNV BLU,Ro-pax ship,206.84,654.61
8417118,SAFFET BEY,Ro-ro ship,68.69,214.56
8417625,POLARIS-2,Other ship types,73.14,230.29
8418174,RAUTARUUKKI,Other ship types,83.16,262.4
8418265,MERRY M,General cargo ship,29.32,92.74
8418758,MARYLAND,Bulk carrier,50.19,160.91
8420787,STAR GRIP,General cargo ship,104.61,326.65
8420842,WOLIN,Ro-pax ship,114.53,360.88
8420878,WIND STAR,Passenger ship,48.97,156.99
8420892,MSC CHIARA,Container ship,126.22,399.44
8500484,ANDREAS KALVOS,Ro-pax ship,50.79,161.23
8500630,ATLANTIC LADY,Refrigerated cargo carrier,123.93,395.32
8501464,ULUSOY-5,Ro-ro ship,66.94,208.9
8501957,GNV ARIES,Ro-pax ship,226.94,717.74
8502391,PRINCESS SEAWAYS,Ro-pax ship,147.47,471.51
8502406,KING SEAWAYS,Ro-pax ship,153.88,491.63
8502470,ACQUA STELLA,General cargo ship,42.83,135.15
8503503,STEEL,Other ship types,88.38,278.75
8503797,GNV ANTARES,Ro-pax ship,234.5,740.96
8505836,MSC GIOVANNA,Container ship,92.96,294.28
8506311,GNV ALLEGRA,Ro-pax ship,165.08,522.01
8506361,BASHAR ONE TRANSPORT,Other ship types,97.9,309.38
8509375,MSC DENISSE,Container ship,131.51,415.8
8509533,GOGLAND REEFER,Refrigerated cargo carrier,102.08,323.05
8509557,NOVIY SVET,Refrigerated cargo carrier,74.21,236.32
8512152,AL ANDALUS EXPRESS,Ro-pax ship,142.86,445.78
8512891,MSC AUGUSTA,Container ship,70.2,221.35
8517580,GOLDEN BIRD,General cargo ship,41.45,131.25
8519710,SILVER SUN,Vehicle carrier,74.69,236.74
8520824,AMADORE,Bulk carrier,46.57,146.21
8521402,MSC ANNAMARIA,Container ship,95.29,300.94
8601915,AMORELLA,Ro-pax ship,152.99,488.8
8604345,MED STAR,Ro-pax ship,221.55,710.3
8604711,JAN SNIADECKI,Ro-pax ship,86.02,271.72
8606056,GMT ASTRO,Vehicle carrier,87.14,275.06
8606109,HALIM M,General cargo ship,47.04,149.44
8606111,SEREF KURU,General cargo ship,64.22,205.51
8611984,CENK CAR,Vehicle carrier,26.88,85.29
8616336,BLUE HORIZON,Ro-pax ship,166.43,520.41
8616556,HAWK,Other ship types,146.18,455.62
8618293,MSC VERONIQUE,Container ship,204.77,648.01
8618358,HUCKLEBERRY FINN,Ro-pax ship,128.16,403.85
8700280,AMERA,Passenger ship,184.89,592.77
8700498,ZHEN HUA 29,Other ship types,356.75,1135.3
8700723,ISABELLE,Ro-pax ship,Division by zero!,Division by zero!
8700785,WIND SURF,Passenger ship,78.95,253.11
8701387,TRANSPORTER,Other ship types,66.97,209.98
8701674,PEARL SEAWAYS,Ro-pax ship,136.72,438.21
8702446,PETAR HEKTOROVIC,Ro-pax ship,39.87,127.82
8703232,TOM SAWYER,Ro-pax ship,135.93,428.33
8704406,NISSOS RODOS,Ro-pax ship,164.93,515.84
8705395,MEDITERRANEE,Ro-pax ship,1152.52,3656.36
8705709,SANSOVINO,Ro-pax ship,75.63,242.48
8706777,ICE GRACE,Refrigerated cargo carrier,83.06,259.88
8706789,ICE GLACIER,Refrigerated cargo carrier,78.13,245.09
8707329,BRETAGNE,Ro-pax ship,Division by zero!,Division by zero!
8712518,GNV CRISTAL,Ro-pax ship,183.39,580.2
8712520,GNV ATLAS,Ro-pax ship,207.33,655.91
8712635,NISSOS SAMOS,Ro-pax ship,159.12,496.6
8714205,MSC SABRINA,Container ship,153.46,484.95
8715259,SILJA SERENADE,Ro-pax ship,206.99,652.24
8715857,MSC SARISKA,Container ship,201.19,635.86
8715869,MSC FEDERICA,Container ship,195.46,624.52
8716100,POLARIS VG,Ro-ro ship,47.22,151.39
8719188,VIKING CINDERELLA,Ro-pax ship,153.16,491.05
8800195,LA BELLE DES OCEANS,Passenger ship,61.19,196.17
8802090,BALTIC SUMMER,Refrigerated cargo carrier,84.35,264.41
8803769,SILJA SYMPHONY,Ro-pax ship,198.51,625.5
8804529,GREEN SELJE,Refrigerated cargo carrier,38.77,122.47
8804531,GREEN KARMØY,Refrigerated cargo carrier,50.7,159.01
8804543,GREEN COOLER,Refrigerated cargo carrier,36.61,115.25
8804555,GREEN BODØ,Refrigerated cargo carrier,41.97,132.87
8804567,GREEN EGERSUND,Refrigerated cargo carrier,40.64,127.46
8804579,GREEN MALØY,Refrigerated cargo carrier,41.61,131.18
8806242,ATLANTIC ROSE,Other ship types,40.97,127.78
8807155,NEPTUNE AVRA,Vehicle carrier,69.46,219.1
8808604,SILVER DANIA,General cargo ship,41.81,134.05
8811405,MUSA OBA,Bulk carrier,66.05,207.99
8813063,RAMAGAS,Gas carrier,90.33,282.03
8813099,EUGENIA GAS,Gas carrier,180.22,562.85
8813154,VASSILIOS,Container/ro-ro cargo ship,93.12,292.23
8813635,NOVA FLORIDA,Refrigerated cargo carrier,43.52,136.29
8818300,GRYF,Ro-pax ship,83.3,263.08
8819275,AURORA,Refrigerated cargo carrier,36.49,114.04
8819299,GREEN AUSTEVOLL,Refrigerated cargo carrier,47.72,150.99
8819304,GREEN FREEZER,Refrigerated cargo carrier,40.75,127.81
8819926,DITLEV REEFER,Refrigerated cargo carrier,100.73,318.61
8819938,IVAR REEFER,Refrigerated cargo carrier,115.72,364.1
8820858,TRANSPORTER,Ro-ro ship,56.76,181.96
8820860,EXPORTER,Ro-ro ship,48.32,154.91
8821797,TAIMYR,General cargo ship,44.11,138.84
8850906,VOLZHSKIY-40,General cargo ship,30.15,96.65
8857772,ALENA,General cargo ship,26.1,83.68
8872801,PRETTY NELLY,General cargo ship,48.27,152.81
8873324,VOLZHSKIY-50,General cargo ship,28.01,89.81
8873489,VOLZHSKIY-44,General cargo ship,29.3,93.94
8876340,ALEXANDRA,General cargo ship,25.62,82.13
8884555,BAHAR-K,General cargo ship,33.38,107.03
8901585,SOFIYA,Bulk carrier,53.06,167.1
8902345,GOLDEN BRIDGE,Ro-pax ship,142.31,449.37
8902931,JOY M,Bulk carrier,52.39,165.37
8902955,TRUSTEE,Other ship types,147.8,473.84
8902967,TRIUMPH,Other ship types,160.3,513.8
8903155,PIETRO MANUNTA,Ro-ro ship,107.53,337.03
8903167,KNUD REEFER,Refrigerated cargo carrier,97.76,308.46
8905787,IRINI,Oil tanker,82.26,261.41
8907204,ARCTIC SPIRIT,Refrigerated cargo carrier,105.43,334.22
8907280,FAST FERRIES ANDROS,Ro-pax ship,163.69,524.78
8907424,SEAVENTURE,Passenger ship,109.68,351.65
8907577,BR GLORY,Bulk carrier,55.41,174.78
8908545,CARINA,General cargo ship,44.31,142.05
8908583,CSL TRIMNES,Bulk carrier,66.62,213.57
8908844,KAN 1,General cargo ship,70.15,221.82
8909070,BALTIC SPRING,Refrigerated cargo carrier,93.06,293.7
8911085,WHITNEY BAY,Refrigerated cargo carrier,65.71,206.14
8911516,MONTE D'ORO,Ro-pax ship,122.9,384.2
8911736,SC AHTELA,Ro-ro ship,54.77,174.47
8911748,SHIPPER,Ro-ro ship,49.09,157.38
8912120,GREEN COSTA RICA,Refrigerated cargo carrier,71.66,224.32
8912132,GREEN HONDURAS,Refrigerated cargo carrier,66,206.61
8912144,GREEN GUATEMALA,Refrigerated cargo carrier,70.61,220.91
8912156,GREEN CHILE,Refrigerated cargo carrier,69.91,219.72
8912297,YEOMAN BONTRUP,Bulk carrier,135.05,422.06
8912302,YEOMAN BRIDGE,Bulk carrier,119.94,380.28
8912376,MARIN,Ro-ro ship,62,194.8
8912388,MARFRET NIOLON,Ro-ro ship,47.91,149.96
8913162,AMADEA,Passenger ship,155.88,499.75
8913320,MEGAN,Bulk carrier,53.69,170.16
8913411,MSC SANTHYA,Container ship,145.94,462.7
8913423,MSC SHANNON,Container ship,172.52,544.43
8913447,MSC ATLANTIC,Container ship,143.46,453.19
8914312,MEHMET AGA,General cargo ship,38.18,122.4
8916126,DIAGORAS,Ro-pax ship,106.96,335.32
8916229,FRIO MARATHON,Refrigerated cargo carrier,59.46,187.63
8917390,PATRIA SEAWAYS,Ro-pax ship,90.84,287.59
8917601,GABRIELLA,Ro-pax ship,140.24,449.59
8917613,CROWN SEAWAYS,Ro-pax ship,154.84,485.34
8917883,AKNOUL,Container ship,48.37,152.66
8917895,MARIN,Ro-ro ship,63.79,204.52
8918722,PRINCESS MAYSA,General cargo ship,44.71,141.45
8918734,MANISA M,General cargo ship,52.47,166.07
8918954,MSC NEDERLAND,Container ship,162,515.69
8918966,MSC MANDY,Container ship,143.91,454.31
8918978,MSC SUEZ,Container ship,154.04,486.59
8918980,MSC JORDAN,Container ship,151.93,479.61
8919788,ANNABELLA,General cargo ship,39.27,123.96
8919805,SILJA EUROPA,Ro-pax ship,339.17,1069.47
8919879,AYANA STAR,General cargo ship,37.29,117.49
8920141,FUJI BAY,Refrigerated cargo carrier,56.58,177.47
8920983,AURIGA,Refrigerated cargo carrier,46.18,144.52
8920995,GREEN CRYSTAL,Refrigerated cargo carrier,48.17,151.1
8922163,ASTERION II,Ro-pax ship,153.08,477.03
8933564,VOLZHSKIY 47,General cargo ship,27.35,87.7
8945086,VICTOR MARTYNENKO,General cargo ship,23.02,73.81
8972259,LEONID ZAYAKIN,General cargo ship,38.98,124.96
8972261,ALEKSANDR ANTONOV,General cargo ship,40.96,131.33
8976671,AQUA JEWEL,Ro-pax ship,62.34,197.7
8986365,GRIGORY MALOV,General cargo ship,36.46,116.91
8986389,YURIY POLTORATZKIY,General cargo ship,34.24,109.77
9000302,MY MERAY,Bulk carrier,64.63,202.41
9000443,EKATERINI P.,Ro-pax ship,75.67,235.95
9000742,MSC JENNY,Container ship,108.88,343.73
9002647,MIMER,Ro-ro ship,36.88,118.24
9004487,MILLA,General cargo ship,40.68,128.33
9004499,CINDY,General cargo ship,47.52,150.12
9004504,ARIA VIBE,General cargo ship,54.51,171.8
9005429,NADA,General cargo ship,117.4,368.67
9006253,NORMANDIE,Ro-pax ship,141.33,440.81
9007116,TYCHO BRAHE,Ro-pax ship,82.74,265.27
9007128,AURORA AF HELSINGBORG,Ro-pax ship,6.78,21.75
9007130,BARFLEUR,Ro-pax ship,Division by zero!,Division by zero!
9007295,PRIDE OF CANTERBURY,Ro-pax ship,228.72,733.29
9007489,JORGEN REEFER,Refrigerated cargo carrier,97.18,305.17
9007491,CLUB MED 2,Passenger ship,97.09,311.27
9007532,JACAMAR ARROW,General cargo ship,90.14,281.87
9007544,QUETZAL ARROW,General cargo ship,90.7,286
9007867,EXCELLENT,Ro-ro ship,52.7,164.49
9007879,TRANS CARRIER,Ro-ro ship,59.09,186.52
9008108,SUNNY GREEN,Gas carrier,153.58,484.43
9008574,MSC TASMANIA,Container ship,132.33,412.47
9008598,STAR LEGEND,Passenger ship,88.18,282.71
9008603,MSC AMERICA,Container ship,110.91,349.76
9008706,ARACARI ARROW,General cargo ship,82.73,257.89
9008732,BALTIC PEARL,Refrigerated cargo carrier,76.32,239.88
9010151,EUROFERRY EGNAZIA,Ro-pax ship,156.04,487.2
9010163,FINNPARTNER,Ro-pax ship,151.69,478.73
9010175,EUROFERRY OLYMPIA,Ro-pax ship,148.13,463.07
9010814,MAZOVIA,Ro-pax ship,130.41,413.27
9010929,ZIRCONE,Oil tanker,128.15,399.25
9011014,LAURANA,Ro-pax ship,93.12,298.53
9013701,GAZ VENEZIA,Gas carrier,26.41,83.9
9014066,SAGA CREST,General cargo ship,97.98,309.1
9014078,SAGA SPRAY,General cargo ship,81.97,258.77
9014444,PRINCE OF SEAS,Refrigerated cargo carrier,57.21,179.8
9014755,BALTIC WINTER,Refrigerated cargo carrier,92.97,291.85
9014767,BALTIC AUTUMN,Refrigerated cargo carrier,85.6,269.5
9015187,HELLAS STREAM,Refrigerated cargo carrier,101.85,317.24
9015199,NEDERLAND STREAM,Refrigerated cargo carrier,103.24,323.14
9015204,BELUGA REEFER,Refrigerated cargo carrier,122.53,384.74
9015216,SCHWEIZ STREAM,Refrigerated cargo carrier,94.29,294.95
9015266,PRIDE OF KENT,Ro-pax ship,216.23,693.24
9015577,ZEYNEP KIRAN,Bulk carrier,68.5,214.2
9015735,MAJESTIC,Ro-pax ship,187.28,583.66
9015747,SPLENDID,Ro-pax ship,208.64,657.96
9016674,BALTIC PERFORMER,Refrigerated cargo carrier,70.96,222.39
9017769,FINNTRADER,Ro-pax ship,148.12,467.38
9018646,OURO DO BRASIL,Refrigerated cargo carrier,90.03,281.76
9018658,SOL DO BRASIL,Refrigerated cargo carrier,93.67,292.97
9019054,DENIA CIUTAT CREATIVA,Ro-pax ship,112.44,352.97
9019066,BENIAMINO CARNEVALE,Ro-pax ship,101.34,316.41
9019078,GALILEUSZ,Ro-pax ship,85.34,269.41
9019080,MARCO POLO,Ro-pax ship,97.24,304.96
9019640,RUNAWAY BAY,Refrigerated cargo carrier,67.98,212.79
9019652,ACONCAGUA BAY,Refrigerated cargo carrier,66.23,208.06
9020352,INGA A,Container ship,86.66,271.77
9021485,ZADAR,Ro-pax ship,79.49,254.86
9030137,ITALIA STREAM,Refrigerated cargo carrier,110.86,345.68
9030149,SWEDISH STREAM,Refrigerated cargo carrier,103.98,327.72
9031698,DRUJBA,Ro-pax ship,79.47,248.02
9031703,COPERNICUS,Ro-pax ship,87.89,277.99
9031997,LAS PALMAS DE GRAN CANARIA,Ro-pax ship,89.76,282
9032496,ALBATROSS,Other ship types,142.17,443.72
9033505,BRAVE LEADER,Bulk carrier,47.54,150.27
9034731,KAPIDAG,Chemical tanker,49.96,160.18
9034743,AYSENAZ,Chemical tanker,42.92,137.6
9034925,RIO BALSAS,Bulk carrier,Division by zero!,Division by zero!
9035101,MEGA EXPRESS FIVE,Ro-pax ship,256.49,801.43
9035876,BLUE GALAXY,Ro-pax ship,197.08,615.03
9036002,MSC SHAULA,Container ship,197.93,625.13
9037276,BEATA,General cargo ship,165.72,529.91
9037290,ERNA SU,General cargo ship,34.73,109.22
9037305,LUCKY,General cargo ship,47.7,151.09
9038323,AUTUMN STREAM,Refrigerated cargo carrier,95.64,297.84
9038488,BALTIC PATRIOT,Refrigerated cargo carrier,71.54,224.51
9038907,MSC ROBERTA,Container ship,198.78,629.06
9039119,KONG HARALD,Ro-pax ship,81.23,216.58
9039250,MSC JOY,Container ship,109.24,346.37
9039391,JUAN J. SISTER,Ro-pax ship,139.12,435.46
9040429,RICHARD WITH,Ro-pax ship,73.45,160.6
9040895,KIRAN ASYA,Bulk carrier,127.95,403.43
9041772,MARIKANA,Bulk carrier,49.26,154.24
9045089,BLUE OCEAN A,Other ship types,60.97,192.45
9045168,WATER PHOENIX,Refrigerated cargo carrier,59.78,187.22
9045601,MEHMET BEY,General cargo ship,40.78,130.74
9045651,T-STAR,General cargo ship,23.64,75.79
9045704,CS CIHAN,General cargo ship,34.75,109.26
9045728,YEBA,General cargo ship,39.35,124.45
9045780,GREEN ITALIA,Refrigerated cargo carrier,64.94,204.29
9045792,GREEN BRAZIL,Refrigerated cargo carrier,69.69,220.55
9045924,PACIFIC MERMAID,Refrigerated cargo carrier,73.12,228.24
9046356,HAJH AMINA,Other ship types,40.62,128.36
9046368,FREESIA,Other ship types,39.49,126.6
9046502,DOLE AMERICA,Refrigerated cargo carrier,89.78,280.87
9046514,DOLE EUROPA,Refrigerated cargo carrier,92.12,288.11
9046526,DOLE ASIA,Refrigerated cargo carrier,94.73,296.35
9046538,DOLE AFRICA,Refrigerated cargo carrier,95.36,298.24
9047001,SEA BRIDLE,Bulk carrier,61.94,194.41
9047245,LAGOON PHOENIX,Refrigerated cargo carrier,59.6,187.24
9047269,CASSIOPEA,Refrigerated cargo carrier,61.4,192.71
9047764,BOW FAGUS,Chemical tanker,123.23,390.33
9048914,NORDLYS,Ro-pax ship,75.09,175.83
9050618,KALLISTE,Ro-pax ship,153.5,479.71
9050814,MARION DUFRESNE,Other ship types,125.85,403.48
9050826,PAGLIA ORBA,Ro-pax ship,165.49,517.43
9051478,MSC JEMIMA,Container ship,109.74,346.4
9051492,MSC NILGUN,Container ship,108.26,341.63
9051791,COLD STREAM,Refrigerated cargo carrier,81.99,256.67
9053658,REGAL BAY,Refrigerated cargo carrier,76.36,239.28
9053919,URANUS,General cargo ship,43.08,136.05
9055709,FEGULUS,Refrigerated cargo carrier,80.59,251.75
9056583,NORBANK,Ro-pax ship,133.13,415.36
9056595,NORBAY,Ro-pax ship,137.24,427.95
9057123,ORANGE WAVE,Refrigerated cargo carrier,74.17,233.11
9057173,MSC AGATA,Container ship,119.81,379.08
9058995,OSLOFJORD,Ro-pax ship,97.36,312.15
9059107,AF MARINA,Ro-pax ship,104.61,326.75
9059602,ALBEMARLE ISLAND,Refrigerated cargo carrier,104.1,325.06
9059614,BARRINGTON ISLAND,Refrigerated cargo carrier,101.48,316.98
9059626,CHARLES ISLAND,Refrigerated cargo carrier,91.28,285.2
9059638,DUNCAN ISLAND,Refrigerated cargo carrier,115.2,360.06
9059640,HOOD ISLAND,Refrigerated cargo carrier,104.69,327.06
9060637,MSC MARTINA,Container ship,126.84,400.63
9060649,MSC MONICA,Container ship,121.3,388.24
9062996,MSC MILA 3,Container ship,95.2,300.98
9064281,GRIT CEMENT II,Other ship types,34.59,109.34
9064748,MSC LARA,Container ship,110.26,348.17
9064750,MSC ELEONORA,Container ship,109.04,345.15
9064839,RAMI M,Other ship types,54.1,169.22
9065405,SCHELDE HIGHWAY,Vehicle carrier,43.72,140.17
9065417,WESER HIGHWAY,Vehicle carrier,41.25,132.24
9067544,MSC MARIA,Ro-ro ship,70.55,222.76
9070474,SILVER  GLORY,Vehicle carrier,82.85,261.88
9070632,MARELLA DISCOVERY,Passenger ship,304.18,960.04
9072446,MARELLA EXPLORER 2,Passenger ship,331.2,1044.61
9072824,AVUNDA REEFER,Refrigerated cargo carrier,59.17,186.07
9073385,FRIO SHINANO,Refrigerated cargo carrier,76.28,239.62
9073402,NOR CAPE,Refrigerated cargo carrier,44.51,139.24
9074030,NEW COURAGE,General cargo ship,50.29,159.46
9074078,SAGA WIND,General cargo ship,88.86,280.47
9075709,HOEGH TRIDENT,Vehicle carrier,89.31,280.32
9075711,HOEGH TROOPER,Vehicle carrier,114.26,360.68
9076260,FRIO FORWIN,Refrigerated cargo carrier,48.22,150.44
9077898,WADI ALARISH,Bulk carrier,103.45,324.53
9077903,WADI SUDR,Bulk carrier,114.31,357.07
9079119,HARDANGER,General cargo ship,112,350.36
9079121,HERANGER,General cargo ship,110.53,345.27
9080015,CIUDAD DE MALAGA,Ro-pax ship,117.75,374.59
9081289,QAMUTIK,General cargo ship,59.84,188.65
9081291,TERIBERKA,General cargo ship,53.65,170.21
9081306,MITIQ,General cargo ship,50.42,158.37
9081318,SINAA,General cargo ship,59.7,187.17
9081320,AUJAQ,General cargo ship,59.37,186.75
9081370,MIKHAIL BRITNEV,General cargo ship,57.54,180.21
9081588,VOLCAN DE TAUCE,Ro-pax ship,96.31,302.05
9081801,HOSANGER,General cargo ship,113.92,355.59
9081992,MANASSA MIRA M,General cargo ship,41.2,128.93
9082623,VENTO,Bulk carrier,65.21,205.75
9083043,SPICA,Container ship,75.07,236.68
9083055,MONTE BRASIL,Container ship,61.78,193.13
9084229,SENSEI,Bulk carrier,60.13,190.01
9084255,INCHCAP,Bulk carrier,57.22,181.2
9084607,MSC NITA,Container ship,97.01,306.72
9085443,SH EXPRESS,General cargo ship,29.65,92.99
9085534,MAERSK KOTKA,Container ship,272.19,851.05
9085546,MAERSK KLEVEN,Container ship,266.68,833.73
9085558,MAERSK KARLSKRONA,Container ship,278.81,870.9
9085675,ALKADI BEY,Bulk carrier,62.93,200.13
9085895,REK KING,Bulk carrier,50.59,160.18
9085900,AYYILDIZ,Bulk carrier,39.34,124.41
9086320,OCEAN S,General cargo ship,54.88,172.63
9086526,RAZONI,Bulk carrier,69.35,219.47
9086588,SKANIA,Ro-pax ship,152.21,479.62
9086590,MEGA EXPRESS FOUR,Ro-pax ship,205.97,643.82
9087013,BOW CEDAR,Chemical tanker,93.09,294.82
9087116,REGAL STAR,Ro-pax ship,107.23,339.25
9087233,FATMA SARI,Bulk carrier,84.17,265.28
9087350,SCA OBBOLA,Ro-ro ship,75.89,236.6
9087362,SCA OSTRAND,Ro-ro ship,78.26,243.99
9087374,SCA ORTVIKEN,Ro-ro ship,78.64,245.11
9087465,NILS DACKE,Ro-pax ship,138.63,431.74
9087477,ROBIN HOOD,Ro-pax ship,124.88,393.51
9087726,RIGEL VII,Ro-pax ship,114.57,367.3
9088249,PELAGIC PIRANHA,Vehicle carrier,83.06,260.36
9088859,GIROLATA,Ro-pax ship,150.08,467.73
9100073,HOYANGER,General cargo ship,96.32,304.38
9100267,FANTASTIC,Ro-pax ship,198.34,619.27
9101730,SPLITTNES,Bulk carrier,51.09,163.78
9102069,STOLT INNOVATION,Chemical tanker,118.47,372.41
9102071,STOLT CONFIDENCE,Chemical tanker,122.37,384.74
9102083,STOLT INSPIRATION,Chemical tanker,134.71,424.21
9102095,STOLT CREATIVITY,Chemical tanker,122.42,384.7
